Pesos,Alturas
46,"1,5"
64,"1,66"
59,"1,61"
58,"1,64"
59,"1,57"
71,"1,68"
52,"1,6"
75,"1,67"
51,"1,57"
47,"1,62"
76,"1,73"
48,"1,57"
58,"1,61"
46,"1,5"
45,"1,48"
58,"1,54"
69,"1,78"
53,"1,58"
49,"1,57"
66,"1,6"
63,"1,58"
56,"1,57"
71,"1,69"
66,"1,66"
67,"1,68"
60,"1,64"
38,"1,44"
63,"1,59"
62,"1,56"
57,"1,58"
64,"1,66"
49,"1,55"
68,"1,7"
54,"1,53"
63,"1,62"
57,"1,61"
60,"1,62"
59,"1,53"
58,"1,61"
50,"1,54"
66,"1,71"
72,"1,7"
52,"1,53"
60,"1,63"
58,"1,61"
70,"1,71"
63,"1,68"
63,"1,64"
82,"1,68"
68,"1,67"
66,"1,65"
66,"1,64"
63,"1,59"
59,"1,56"
53,"1,55"
62,"1,61"
63,"1,58"
64,"1,68"
56,"1,59"
66,"1,69"
50,"1,51"
72,"1,64"
69,"1,65"
64,"1,56"
67,"1,68"
60,"1,62"
71,"1,77"
71,"1,71"
65,"1,61"
45,"1,55"
57,"1,52"
61,"1,63"
54,"1,54"
66,"1,58"
41,"1,43"
77,"1,71"
71,"1,65"
63,"1,66"
56,"1,6"
47,"1,5"
64,"1,68"
61,"1,56"
60,"1,62"
53,"1,52"
63,"1,71"
58,"1,58"
61,"1,65"
77,"1,79"
75,"1,71"
80,"1,73"
56,"1,61"
49,"1,55"
73,"1,8"
62,"1,66"
56,"1,56"
65,"1,58"
65,"1,66"
51,"1,57"
56,"1,6"
60,"1,63"
67,"1,63"
76,"1,77"
58,"1,6"
80,"1,83"
61,"1,57"
63,"1,67"
47,"1,52"
66,"1,64"
54,"1,58"
62,"1,64"
53,"1,54"
58,"1,55"
67,"1,67"
53,"1,54"
56,"1,65"
59,"1,6"
65,"1,62"
60,"1,58"
49,"1,57"
65,"1,65"
66,"1,66"
58,"1,56"
42,"1,45"
44,"1,43"
60,"1,54"
62,"1,56"
57,"1,57"
70,"1,69"
64,"1,65"
73,"1,61"
64,"1,64"
61,"1,55"
53,"1,58"
64,"1,65"
65,"1,61"
60,"1,61"
61,"1,61"
63,"1,68"
58,"1,6"
55,"1,59"
51,"1,57"
57,"1,61"
55,"1,58"
73,"1,73"
74,"1,69"
54,"1,59"
61,"1,66"
56,"1,66"
55,"1,62"
68,"1,62"
59,"1,63"
53,"1,51"
64,"1,63"
65,"1,68"
59,"1,5"
64,"1,62"
55,"1,59"
64,"1,66"
72,"1,65"
55,"1,57"
70,"1,62"
61,"1,63"
51,"1,47"
48,"1,49"
58,"1,59"
54,"1,55"
50,"1,57"
72,"1,71"
55,"1,6"
62,"1,62"
63,"1,68"
52,"1,55"
57,"1,58"
73,"1,67"
68,"1,68"
74,"1,68"
47,"1,58"
58,"1,56"
64,"1,65"
62,"1,66"
47,"1,46"
59,"1,64"
43,"1,46"
50,"1,57"
56,"1,62"
68,"1,64"
72,"1,68"
51,"1,57"
65,"1,61"
62,"1,55"
53,"1,54"
41,"1,5"
71,"1,69"
72,"1,69"
61,"1,59"
57,"1,6"
51,"1,57"
50,"1,57"
57,"1,56"
59,"1,63"
59,"1,57"
68,"1,65"
68,"1,7"
80,"1,71"
68,"1,6"
56,"1,63"
50,"1,54"
59,"1,54"
51,"1,5"
61,"1,61"
51,"1,57"
53,"1,55"
64,"1,61"
54,"1,57"
38,"1,44"
53,"1,6"
44,"1,49"
51,"1,56"
54,"1,61"
69,"1,7"
80,"1,73"
45,"1,49"
65,"1,63"
64,"1,64"
62,"1,63"
73,"1,69"
67,"1,59"
61,"1,63"
51,"1,47"
48,"1,5"
68,"1,68"
60,"1,67"
55,"1,56"
67,"1,64"
68,"1,66"
59,"1,6"
64,"1,65"
66,"1,6"
60,"1,58"
63,"1,65"
54,"1,56"
66,"1,66"
60,"1,64"
54,"1,59"
68,"1,62"
68,"1,66"
67,"1,65"
71,"1,64"
56,"1,59"
70,"1,71"
84,"1,79"
54,"1,57"
68,"1,66"
66,"1,73"
65,"1,64"
59,"1,62"
66,"1,65"
53,"1,55"
60,"1,64"
